Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","U.FL-R-SMT-1(10)","HRS_U.FL-R-SMT-1(10)",138.938000,-82.522800,-90.000000,top
"C1","10uF","C_0603",114.573700,-109.035850,0.000000,top
"C2","1uF","C_0603",114.573700,-110.305850,0.000000,top
"C3","100nF","C_0603",114.573700,-111.575850,0.000000,top
"C4","12pF","C_0603",90.424000,-79.933800,0.000000,top
"C5","12pF","C_0603",90.424000,-88.569800,0.000000,top
"C6","10uF","C_0603",119.587201,-119.503100,90.000000,top
"C7","10nF","C_0603",113.284000,-76.454000,90.000000,top
"C8","1uF","C_0603",114.808000,-76.454000,90.000000,top
"C9","100nF","C_0603",132.479700,-81.252800,0.000000,top
"C10","1uF","C_0603",128.016000,-88.138000,90.000000,top
"C11","100nF","C_0603",126.238000,-88.138000,90.000000,top
"C12","100nF","C_0603",136.023000,-79.220800,-90.000000,top
"C13","100nF","C_0603",119.634000,-90.614500,90.000000,top
"C14","100nF","C_0603",113.538000,-83.235800,90.000000,top
"C15","100nF","C_0603",110.998000,-83.235800,90.000000,top
"C16","10nF","C_0603",109.728000,-83.235800,90.000000,top
"C17","1uF","C_0603",197.358000,-107.925000,0.000000,top
"C18","1uF","C_0603",197.358000,-109.397800,0.000000,top
"C19","100nF","C_0603",197.358000,-110.921800,0.000000,top
"C20","4.7uF","C_0603",197.358000,-112.445800,0.000000,top
"C21","100nF","C_0603",202.225699,-119.532400,90.000000,top
"C22","20pF","C_0603",167.132000,-84.836000,0.000000,top
"C23","20pF","C_0603",167.132000,-82.296000,0.000000,top
"C24","100nF","C_0603",169.926000,-90.322400,90.000000,top
"C25","100nF","C_0603",180.340000,-76.708000,180.000000,top
"D1","LTST-C191KGKT","LED_0603",118.637700,-103.955850,-90.000000,top
"D2","LTST-C191KGKT","LED_0603",202.184000,-102.793800,-90.000000,top
"J1","AMPHENOL_10118193-0001LF","10118193-0001LF",95.504000,-122.169300,0.000000,top
"J2","PPTC202LFBN-RC","2X20",91.694000,-68.072000,90.000000,top
"J3","AMPHENOL_10118193-0001LF","10118193-0001LF",181.356000,-122.232800,0.000000,top
"J4","~","1X2",163.830000,-116.509800,90.000000,top
"J5","PPTC202LFBN-RC","2X20",150.368000,-68.072000,90.000000,top
"J6","~","1X2",144.780000,-118.364000,0.000000,top
"J7","~","1X2",106.426000,-103.378000,-90.000000,top
"J9","~","1X2",163.830000,-111.429800,90.000000,top
"J10","~","1X2",163.830000,-106.349800,90.000000,top
"J11","~","1X2",106.426000,-108.458000,-90.000000,top
"J12","~","1X2",106.426000,-113.538000,-90.000000,top
"L1","4.7nH","L_0603",135.261000,-81.252800,0.000000,top
"L2","4.7nH","L_0603",112.268000,-83.235800,90.000000,top
"L3","4.7nH","L_0603",169.926000,-87.541100,90.000000,top
"R1","470ohm","R_0603",117.875700,-107.003850,180.000000,top
"R2","10k","R_0603",119.587201,-116.709100,90.000000,top
"R3","10k","R_0603",128.016000,-85.090000,-90.000000,top
"R4","470ohm","R_0603",201.422000,-106.095800,180.000000,top
"R5","0ohm","R_0603",180.594000,-98.983800,-90.000000,top
"R6","0ohm","R_0603",177.800000,-98.996500,-90.000000,top
"R7","10k","R_0603",202.225699,-116.751100,90.000000,top
"R8","10ohm","R_0603",185.674000,-78.917800,90.000000,top
"R9","10k","R_0603",193.802000,-90.347800,0.000000,top
"R10","0ohm","R_0603",136.023000,-83.284800,90.000000,top
"R11","0ohm","R_0603",147.574000,-113.792000,90.000000,top
"R12","0ohm","R_0603",149.098000,-113.792000,90.000000,top
"R13","1Mohm","R_0603",146.304000,-92.125800,-90.000000,top
"R14","1Mohm","R_0603",146.304000,-89.344500,-90.000000,top
"R15","1Mohm","R_0603",147.828000,-92.189300,-90.000000,top
"R16","1Mohm","R_0603",147.828000,-89.408000,-90.000000,top
"S1","DS01C-254-L-06BE","SW_DS01C-254-L-06BE",95.248000,-105.976800,0.000000,top
"S2","DS01C-254-L-06BE","SW_DS01C-254-L-06BE",181.610000,-105.841800,0.000000,top
"SW1","PTS636_SK25J_SMTR_LFS","PTS636 SK25J SMTR LFS",114.808000,-117.525800,0.000000,top
"SW2","PTS636_SK25J_SMTR_LFS","PTS636 SK25J SMTR LFS",197.358000,-117.525800,0.000000,top
"U1","SOT-223_S_MCH","MIC5209-3.3YS",113.284000,-103.797100,0.000000,top
"U2","ESP32-C3FH4","QFN50P500X500X90-33N",120.560000,-83.715800,0.000000,top
"U3","SOT-223_S_MCH","MIC5209-3.3YS",195.834000,-102.616000,0.000000,top
"U5","QFN48_7X7MC_MCH","ATSAMD21G18A-MUT",181.610000,-88.569800,0.000000,top
"Y1","HCM4916000000ABJT","Crystal_16MHz",94.996000,-84.251800,-90.000000,top
"Y2","ECS-3951M-400-BN-TR","ECS-3951M-400-BN-TR",120.396000,-73.075800,90.000000,top
"Y3","ABS07-32.768KHZ-9-T","Crystal_32.768kHz",169.926000,-84.766000,90.000000,top
