"Source:","/Users/brandonlantau/Desktop/Microcontroller Design/espresso-microcontroller/Rev1/Custom-Microcontroller-Project/Custom-Microcontroller-Project.kicad_sch"
"Date:","Saturday, April 08, 2023 at 01:26:25 PM"
"Tool:","Eeschema (7.0.0-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","69"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","MANUFACTURER","Part Number"
"1","1","ANT1","U.FL-R-SMT-1(10)","Custom_Microcontroller:U.FL-R-SMT-1(10)","Custom_Microcontroller:HRS_U.FL-R-SMT-1(10)","","","","Hirose",""
"2","2","C1, C6","10uF","Custom_Microcontroller:C_0603_10uF","Custom_Microcontroller:C_0603","","","","",""
"3","5","C2, C8, C10, C17, C18","1uF","Custom_Microcontroller:C_0603_1uF","Custom_Microcontroller:C_0603","","","","",""
"4","11","C3, C9, C11, C12, C13, C14, C15, C19, C21, C24, C25","100nF","Custom_Microcontroller:C_0603_100nF","Custom_Microcontroller:C_0603","","","","",""
"5","2","C4, C5","12pF","Custom_Microcontroller:C_0603_12pF","Custom_Microcontroller:C_0603","","","","",""
"6","2","C7, C16","10nF","Custom_Microcontroller:C_0603_10nF","Custom_Microcontroller:C_0603","","","","",""
"7","1","C20","4.7uF","Custom_Microcontroller:C_0603_4.7uF","Custom_Microcontroller:C_0603","","","","",""
"8","2","C22, C23","20pF","Custom_Microcontroller:C_0603_20pF","Custom_Microcontroller:C_0603","","","","",""
"9","2","D1, D2","LTST-C191KGKT","Custom_Microcontroller:LED_0603_Orange","Custom_Microcontroller:LED_0603","","","","",""
"10","2","J1, J3","10118193-0001LF","Custom_Microcontroller:10118193-0001LF","Custom_Microcontroller:10118193-0001LF","","","","Amphenol FCI",""
"11","2","J2, J5","PPTC202LFBN-RC","Custom_Microcontroller:HEADER-2x20","Custom_Microcontroller:2X20","","","","",""
"12","7","J4, J6, J7, J9, J10, J11, J12","~","Custom_Microcontroller:HEADER-1X2","Custom_Microcontroller:1X2","","","","",""
"13","3","L1, L2, L3","4.7nH","Custom_Microcontroller:L_0603_4.7nH","Custom_Microcontroller:L_0603","","","","","LMCI1608-4N7ST"
"14","2","R1, R4","470ohm","Custom_Microcontroller:R_0603_470ohm","Custom_Microcontroller:R_0603","","","","","RMCF0603FT470R"
"15","4","R2, R3, R7, R9","10k","Custom_Microcontroller:R_0603_10kohm","Custom_Microcontroller:R_0603","","","","","RNCP0603FTD10K0"
"16","5","R5, R6, R10, R11, R12","0ohm","Custom_Microcontroller:R_0603_0ohm","Custom_Microcontroller:R_0603","","","","","RMCF0603ZT0R00"
"17","1","R8","10ohm","Custom_Microcontroller:R_0603_10ohm","Custom_Microcontroller:R_0603","","","","","RNCP0603FTD10R0"
"18","4","R13, R14, R15, R16","1Mohm","Custom_Microcontroller:R_0603_1Mohm","Custom_Microcontroller:R_0603","","","","","RMCF0603FG1M00"
"19","2","S1, S2","DS01C-254-L-06BE","Custom_Microcontroller:Switch_6POS","Custom_Microcontroller:SW_DS01C-254-L-06BE","","","","CUI",""
"20","2","SW1, SW2","PTS636_SK25J_SMTR_LFS","Custom_Microcontroller:PTS636_SK25J_SMTR_LFS","Custom_Microcontroller:PTS636 SK25J SMTR LFS","","","","",""
"21","2","U1, U3","MIC5209-3.3YS","Custom_Microcontroller:MIC5209-3.3YS","Custom_Microcontroller:MIC5209-3.3YS","","","","",""
"22","1","U2","ESP32-C3FH4","Custom_Microcontroller:ESP32-C3FH4","Custom_Microcontroller:QFN50P500X500X90-33N","","","","Espressif",""
"23","1","U5","ATSAMD21G18A-MUT","Custom_Microcontroller:ATSAMD21G18A-MUT","Custom_Microcontroller:ATSAMD21G18A-MUT","","","","",""
"24","1","Y1","HCM4916000000ABJT","Custom_Microcontroller:Crystal_16MHz","Custom_Microcontroller:Crystal_16MHz","","","","",""
"25","1","Y2","ECS-3951M-400-BN-TR","Custom_Microcontroller:ECS-3951M-400-BN-TR","Custom_Microcontroller:ECS-3951M-400-BN-TR","","","","",""
"26","1","Y3","ABS07-32.768KHZ-9-T","Custom_Microcontroller:Crystal_32.768kHz","Custom_Microcontroller:Crystal_32.768kHz","","","","",""
